slug	name	country	first	last	complete
farolito_mexico	Faro-Lito (México)	Meksiko			no
femina	Femina	Italio	2005	2008	no
fenikso	FEN’X / Fenikso	Nederlando	1996	2008	no
fenikso_argentina	Fenikso (Argentina)	Argentino	1989	1997	no
fervojaesperantisto	Fervoja Esperantisto	Germanio	1910	Nuntempe	no
fervojfakajkajeroj	Fervojfakaj kajeroj	Germanio	1992	2003	yes
fervojisto	La Fervojisto (1923-1930)	Kroatio	1923	1930	no
fidokajespero	Fido kaj Espero	Hispanio	1968	1968	no
finna_esperantisto	Finna Esperantisto	Finnlando	1907	1914	no
flandra_katoliko	Flandra Katoliko	Belgio	1935	1988	no
flandra_studanto	Flandra Studanto	Belgio	1939	1940	no
flandraesperantisto	Flandra Esperantisto	Belgio	1929	1961	no
flava_rivero	Flava Rivero	Ĉinio	2017	Nuntempe	no
fletero_nederlando	FLEtero (Nederlando)	Nederlando			no
fokuso	Fokuso	Svedio	1967	1976	no
fokuso_scienca	Fokuso (Scienca)	Hungario	1987	1988	no
fonto	Fonto	Brazilo	1980	2007	no
formozafolio	Formoza Folio	Tajvano	2005		no
forstista_informilo	Forstista Informilo	Germanio	1981	2003	no
forumo_lsg	Forumo (LSG)	Germanio	1973	2007	no
foto_revuo_internacia	Foto-Revuo Internacia	Francio	1906	1907	no
franca_katolika_esperantisto	Franca Katolika Esperantisto	Francio	1947	2003	no
franca_mem_informilo	Franca MEM-Informilo	Francio	1991	1993	no
francaesperantisto	Franca Esperantisto / Revue Française d'Esperanto	Francio	2001	2007	no
franceesperanto_1915	France Esperanto (1915)	Francio	1915	1924	no
frateco	Frateco	Pollando	1908	1909	no
fresho	Freŝo	Pollando			no
gaja_haveno	Gaja Haveno	Brazilo			no
gaja_planedo	Gaja Planedo	Kubo			no
gazeto_andaluzia_1910	Gazeto Andaluzia (1910)	Hispanio	1910	1910	no
gazeto_andaluzia_nova	Gazeto Andaluzia (ekde 1984)	Hispanio	1984	Nuntempe	no
gazetohispana	Gazeto hispana	Hispanio	1911		no
gea_informa	GEA Informa	Brazilo			no
gej_gazeto	GEJ-Gazeto	Germanio	1979	1999	no
generalitat_de_catalunya	Generalitat de Catalunya	Hispanio	1937	1938	no
gento_esperanto	Gento-Esperanto	Belgio	1913	1914	no
geografia_revuo	Geografia Revuo	Slovenio	1956	1964	no
geologio_internacia	Geologio Internacia	Ĉeĥio	1968	1990	no
gepatra_bulteno	Gepatra Bulteno	Britio	1967	1969	no
germana_esperanto_revuo	Germana Esperanto-Revuo	Germanio	1948	1978	no
germanaesperantisto	Germana Esperantisto	Germanio	1905	1935	no
ghenerala_ligo_de_la_blinduloj_de_flandrujo	Ĝenerala Ligo de la Blinduloj de Flandrujo	Belgio	1928	1929	no
gheneralainformilobec	Ĝenerala informilo - Barcelona Esperanto-Centro	Hispanio	1977	1984	no
globusoj	Globusoj	Francio	2012		no
grupa_vivo	Grupa Vivo	Belgio	1938		no
hace	Horizonto De Afrika Centro Esperantista (HACE)	Demokratia Respubliko Kongo			no
harca_esperanto_kuriero	Harca-Esperanto-Kuriero	Germanio	1959	2009	no
hef_bulteno	HEF-bulteno	Hispanio			no
hejs	HEJS	Hispanio	1959	1979	no
hejsjuneco	HEJS-Juneco	Hispanio	1980	1990	no
heleco	Heleco	Hispanio	1976	Nuntempe	no
heleco_verdakolombejo	Heleco (VerdaKolombejo)	Hispanio	1953	1954	no
helena_esperantisto	Helena Esperantisto	Grekio	1936	1970	no
heliko	Heliko	Kroatio	1983	1988	no
heljanto	Heljanto	Ukrainio	2002	2002	no
herezulo	Herezulo	Francio	1935	1936	no
heroldo_de_chinio	Heroldo de Ĉinio	Ĉinio	1939	1944	no
heroldochinio	Heroldo de Ĉinio	Ĉinio	1939	1942	no
heroldoesperanto	Heroldo de Esperanto	Svislando	2007	2023	no
heroldohel	Heroldo de HEL	Japanio	1988	2008	no
hesinformilo	HES Informilo	Germanio	1924	1990	no
hhina_esperanta_scienca_literatura_revuo	Ĥina-Esperanta Scienca Literatura Revuo	Ĉinio	1909	1910	no
hindaesperantisto	Hinda Esperantisto	Indonesio	1925	1934	no
hindujo	Hindujo	Belgio	1933	1935	no
hispana_esperanto	Hispana Esperanto	Hispanio	1928	1930	no
hispana_kongreso_de_esperanto_kongreslibro	Hispana Kongreso de Esperanto. Kongreslibro	Hispanio	1922	2009	no
hispanaesperantisto	Hispana Esperantisto	Hispanio	1917	1923	no
hispanaesperantogazeto	Hispana Esperanto-Gazeto	Hispanio	1931	1936	no
hispanajarlibroesperantista	Hispana jarlibro esperantista	Hispanio	1905	1910	no
historia_revuo	Historia Revuo	Nederlando			no
holanda_esperantisto	Holanda Esperantisto	Nederlando	1922	1931	no
holland_express	Holland Express	Nederlando	1908	1911	no
homaro_hispanio	Homaro	Hispanio	1913	1921	no
homeco	Homeco	Bulgario	1925	1925	no
homo_kaj_kosmo	Homo kaj kosmo	Kroatio	1963	1984	no
horizontaal	Horizontaal	Belgio	1991	Nuntempe	yes
horizonto_de_soveta_litovio	Horizonto de Soveta Litovio	Litovio	1970	1987	no
horizonto_jurbarkas	Horizonto (Jurbarkas)	Litovio			no
horizonto_nem	Horizonto (NEM)	Hispanio	1976	1987	no
hungara_fervojista_mondo	Hungara Fervojista Mondo	Hungario	1957	2008	no
